N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
11         I2         2     16         1          25         1          0.000000196882  0.000001003407  5.10       509.65    %
12         I2         2     32         1          25         1          0.000000763871  0.000002851524  3.73       373.30    %
13         I2         2     64         1          25         1          0.000002876110  0.000010621734  3.69       369.31    %
14         I2         2     128        1          25         1          0.000012610294  0.000044430606  3.52       352.34    %
15         I2         2     256        1          25         1          0.000046330875  0.000189574988  4.09       409.18    %
16         I2         2     512        1          25         1          0.000212784667  0.000704960315  3.31       331.30    %
17         I2         2     1024       1          25         1          0.001105267787  0.003232403891  2.92       292.45    %
18         I2         2     2048       1          25         1          0.008906295523  0.027644287795  3.10       310.39    %
19         I2         2     4096       1          25         1          0.048343587667  0.127923235297  2.65       264.61    %
20         I2M        2     16         1          25         1          0.000000230409  0.000001003407  4.35       435.49    %
21         I2M        2     32         1          25         1          0.000000742823  0.000002851524  3.84       383.88    %
22         I2M        2     64         1          25         1          0.000002871454  0.000010621734  3.70       369.91    %
23         I2M        2     128        1          25         1          0.000012844243  0.000044430606  3.46       345.92    %
24         I2M        2     256        1          25         1          0.000046467409  0.000189574988  4.08       407.97    %
25         I2M        2     512        1          25         1          0.000212112252  0.000704960315  3.32       332.35    %
26         I2M        2     1024       1          25         1          0.001128454343  0.003232403891  2.86       286.45    %
27         I2M        2     2048       1          25         1          0.009031211957  0.027644287795  3.06       306.10    %
28         I2M        2     4096       1          25         1          0.048047710210  0.127923235297  2.66       266.24    %
29         I2FTV      2     16         1          25         1          0.000000230037  0.000001003407  4.36       436.19    %
30         I2FTV      2     32         1          25         1          0.000000757910  0.000002851524  3.76       376.24    %
31         I2FTV      2     64         1          25         1          0.000002897903  0.000010621734  3.67       366.53    %
32         I2FTV      2     128        1          25         1          0.000012943708  0.000044430606  3.43       343.26    %
33         I2FTV      2     256        1          25         1          0.000046373159  0.000189574988  4.09       408.80    %
34         I2FTV      2     512        1          25         1          0.000213931868  0.000704960315  3.30       329.53    %
35         I2FTV      2     1024       1          25         1          0.001106794924  0.003232403891  2.92       292.05    %
36         I2FTV      2     2048       1          25         1          0.008874571882  0.027644287795  3.11       311.50    %
37         I2FTV      2     4096       1          25         1          0.048350829631  0.127923235297  2.65       264.57    %
38         I2FUN      2     16         1          25         1          0.000000246055  0.000001003407  4.08       407.80    %
39         I2FUN      2     32         1          25         1          0.000000676885  0.000002851524  4.21       421.27    %
40         I2FUN      2     64         1          25         1          0.000002497248  0.000010621734  4.25       425.34    %
41         I2FUN      2     128        1          25         1          0.000012361631  0.000044430606  3.59       359.42    %
42         I2FUN      2     256        1          25         1          0.000042219086  0.000189574988  4.49       449.03    %
43         I2FUN      2     512        1          25         1          0.000196780631  0.000704960315  3.58       358.25    %
44         I2FUN      2     1024       1          25         1          0.001023658551  0.003232403891  3.16       315.77    %
45         I2FUN      2     2048       1          25         1          0.008486698382  0.027644287795  3.26       325.74    %
46         I2FUN      2     4096       1          25         1          0.047033842653  0.127923235297  2.72       271.98    %
47         I2PLA      2     16         1          25         1          0.000000238046  0.000001003407  4.22       421.52    %
48         I2PLA      2     32         1          25         1          0.000000785105  0.000002851524  3.63       363.20    %
49         I2PLA      2     64         1          25         1          0.000002926774  0.000010621734  3.63       362.92    %
50         I2PLA      2     128        1          25         1          0.000012958422  0.000044430606  3.43       342.87    %
51         I2PLA      2     256        1          25         1          0.000046983732  0.000189574988  4.03       403.49    %
52         I2PLA      2     512        1          25         1          0.000212965155  0.000704960315  3.31       331.02    %
53         I2PLA      2     1024       1          25         1          0.001073243679  0.003232403891  3.01       301.18    %
54         I2PLA      2     2048       1          25         1          0.008534962311  0.027644287795  3.24       323.89    %
55         I2PLA      2     4096       1          25         1          0.048227086663  0.127923235297  2.65       265.25    %
56         I2FTVFUN   2     16         1          25         1          0.000000236928  0.000001003407  4.24       423.51    %
