N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
1          SO0        1     16         1          25         1          0.000000946969  0.000000946969  1.00       100.00    %
2          SO0        1     32         1          25         1          0.000002933666  0.000002933666  1.00       100.00    %
3          SO0        1     64         1          25         1          0.000010496192  0.000010496192  1.00       100.00    %
4          SO0        1     128        1          25         1          0.000041707048  0.000041707048  1.00       100.00    %
5          SO0        1     256        1          25         1          0.000167076665  0.000167076665  1.00       100.00    %
6          SO0        1     512        1          25         1          0.000699337223  0.000699337223  1.00       100.00    %
7          SO0        1     1024       1          25         1          0.003092630999  0.003092630999  1.00       100.00    %
8          SO0        1     2048       1          25         1          0.026368921623  0.026368921623  1.00       100.00    %
9          SO0        1     4096       1          25         1          0.125293537974  0.125293537974  1.00       100.00    %
10         I2         2     16         1          25         1          0.000000209548  0.000000946969  4.52       451.91    %
11         I2         2     32         1          25         1          0.000000752136  0.000002933666  3.90       390.04    %
12         I2         2     64         1          25         1          0.000002921000  0.000010496192  3.59       359.34    %
13         I2         2     128        1          25         1          0.000012742542  0.000041707048  3.27       327.31    %
14         I2         2     256        1          25         1          0.000046274996  0.000167076665  3.61       361.05    %
15         I2         2     512        1          25         1          0.000209375285  0.000699337223  3.34       334.01    %
16         I2         2     1024       1          25         1          0.001060948125  0.003092630999  2.91       291.50    %
17         I2         2     2048       1          25         1          0.008645045571  0.026368921623  3.05       305.02    %
18         I2         2     4096       1          25         1          0.047599662095  0.125293537974  2.63       263.22    %
19         I2M        2     16         1          25         1          0.000000227243  0.000000946969  4.17       416.72    %
20         I2M        2     32         1          25         1          0.000000766292  0.000002933666  3.83       382.84    %
21         I2M        2     64         1          25         1          0.000002872199  0.000010496192  3.65       365.44    %
22         I2M        2     128        1          25         1          0.000012763776  0.000041707048  3.27       326.76    %
23         I2M        2     256        1          25         1          0.000045816600  0.000167076665  3.65       364.66    %
24         I2M        2     512        1          25         1          0.000209604943  0.000699337223  3.34       333.65    %
25         I2M        2     1024       1          25         1          0.001069251681  0.003092630999  2.89       289.23    %
26         I2M        2     2048       1          25         1          0.008404753171  0.026368921623  3.14       313.74    %
27         I2M        2     4096       1          25         1          0.047389335930  0.125293537974  2.64       264.39    %
28         I2FTV      2     16         1          25         1          0.000000222772  0.000000946969  4.25       425.08    %
29         I2FTV      2     32         1          25         1          0.000000763871  0.000002933666  3.84       384.05    %
30         I2FTV      2     64         1          25         1          0.000002922863  0.000010496192  3.59       359.11    %
31         I2FTV      2     128        1          25         1          0.000012650341  0.000041707048  3.30       329.69    %
32         I2FTV      2     256        1          25         1          0.000046356581  0.000167076665  3.60       360.42    %
33         I2FTV      2     512        1          25         1          0.000209708320  0.000699337223  3.33       333.48    %
34         I2FTV      2     1024       1          25         1          0.001076231711  0.003092630999  2.87       287.36    %
35         I2FTV      2     2048       1          25         1          0.008596980944  0.026368921623  3.07       306.72    %
36         I2FTV      2     4096       1          25         1          0.047310240567  0.125293537974  2.65       264.83    %
37         I2FUN      2     16         1          25         1          0.000000261329  0.000000946969  3.62       362.37    %
38         I2FUN      2     32         1          25         1          0.000000682473  0.000002933666  4.30       429.86    %
39         I2FUN      2     64         1          25         1          0.000002460182  0.000010496192  4.27       426.64    %
40         I2FUN      2     128        1          25         1          0.000012414530  0.000041707048  3.36       335.95    %
41         I2FUN      2     256        1          25         1          0.000042300486  0.000167076665  3.95       394.98    %
42         I2FUN      2     512        1          25         1          0.000194333872  0.000699337223  3.60       359.86    %
43         I2FUN      2     1024       1          25         1          0.001010854729  0.003092630999  3.06       305.94    %
44         I2FUN      2     2048       1          25         1          0.008256950416  0.026368921623  3.19       319.35    %
45         I2FUN      2     4096       1          25         1          0.046882253140  0.125293537974  2.67       267.25    %
46         I2PLA      2     16         1          25         1          0.000000227802  0.000000946969  4.16       415.70    %
47         I2PLA      2     32         1          25         1          0.000000752695  0.000002933666  3.90       389.76    %
48         I2PLA      2     64         1          25         1          0.000002900697  0.000010496192  3.62       361.85    %
49         I2PLA      2     128        1          25         1          0.000012690015  0.000041707048  3.29       328.66    %
50         I2PLA      2     256        1          25         1          0.000046565383  0.000167076665  3.59       358.80    %
51         I2PLA      2     512        1          25         1          0.000212366693  0.000699337223  3.29       329.31    %
52         I2PLA      2     1024       1          25         1          0.001076428802  0.003092630999  2.87       287.30    %
53         I2PLA      2     2048       1          25         1          0.008570800535  0.026368921623  3.08       307.66    %
54         I2PLA      2     4096       1          25         1          0.048131860793  0.125293537974  2.60       260.31    %
55         I2FTVFUN   2     16         1          25         1          0.000000222027  0.000000946969  4.27       426.51    %
56         I2FTVFUN   2     32         1          25         1          0.000000651740  0.000002933666  4.50       450.13    %
57         I2FTVFUN   2     64         1          25         1          0.000002447330  0.000010496192  4.29       428.88    %
58         I2FTVFUN   2     128        1          25         1          0.000012435950  0.000041707048  3.35       335.37    %
59         I2FTVFUN   2     256        1          25         1          0.000042148306  0.000167076665  3.96       396.40    %
60         I2FTVFUN   2     512        1          25         1          0.000194980021  0.000699337223  3.59       358.67    %
61         I2FTVFUN   2     1024       1          25         1          0.001021858072  0.003092630999  3.03       302.65    %
62         I2FTVFUN   2     2048       1          25         1          0.008384634741  0.026368921623  3.14       314.49    %
63         I2FTVFUN   2     4096       1          25         1          0.046613436192  0.125293537974  2.69       268.79    %
64         I2FM       2     16         1          25         1          0.000000202656  0.000000946969  4.67       467.28    %
65         I2FM       2     32         1          25         1          0.000000745431  0.000002933666  3.94       393.55    %
66         I2FM       2     64         1          25         1          0.000002895296  0.000010496192  3.63       362.53    %
67         I2FM       2     128        1          25         1          0.000012880191  0.000041707048  3.24       323.81    %
68         I2FM       2     256        1          25         1          0.000046805293  0.000167076665  3.57       356.96    %
69         I2FM       2     512        1          25         1          0.000214042520  0.000699337223  3.27       326.73    %
70         I2FM       2     1024       1          25         1          0.001080539310  0.003092630999  2.86       286.21    %
71         I2FM       2     2048       1          25         1          0.008448669687  0.026368921623  3.12       312.11    %
72         I2FM       2     4096       1          25         1          0.047942485660  0.125293537974  2.61       261.34    %
73         I2FL       2     16         1          25         1          0.000000221282  0.000000946969  4.28       427.95    %
74         I2FL       2     32         1          25         1          0.000000853464  0.000002933666  3.44       343.74    %
