N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Scaling    Efficiency
2          SO1        1     16         1          1          1          0.000000000000  0.000000000000  -nan       -nan      %
3          SO1        1     32         1          1          1          0.000009000000  0.000009000000  1.00       100.00    %
4          SO1        1     64         1          1          1          0.000037999998  0.000037999998  1.00       100.00    %
5          SO1        1     128        1          1          1          0.000118999997  0.000118999997  1.00       100.00    %
6          SO1        1     256        1          1          1          0.000536000007  0.000536000007  1.00       100.00    %
7          SO1        1     512        1          1          1          0.003182000015  0.003182000015  1.00       100.00    %
8          SO1        1     1024       1          1          1          0.009267999791  0.009267999791  1.00       100.00    %
9          SO1        1     2048       1          1          1          0.032926000655  0.032926000655  1.00       100.00    %
10         SO1        1     4096       1          1          1          0.156948998570  0.156948998570  1.00       100.00    %
11         SO2        1     16         1          1          1          0.000001000000  0.000001000000  1.00       100.00    %
12         SO2        1     32         1          1          1          0.000005000000  0.000005000000  1.00       100.00    %
13         SO2        1     64         1          1          1          0.000018999999  0.000018999999  1.00       100.00    %
14         SO2        1     128        1          1          1          0.000111000001  0.000111000001  1.00       100.00    %
15         SO2        1     256        1          1          1          0.000419999997  0.000419999997  1.00       100.00    %
16         SO2        1     512        1          1          1          0.002178000053  0.002178000053  1.00       100.00    %
17         SO2        1     1024       1          1          1          0.005417999811  0.005417999811  1.00       100.00    %
18         SO2        1     2048       1          1          1          0.036481998861  0.036481998861  1.00       100.00    %
19         SO2        1     4096       1          1          1          0.158760994673  0.158760994673  1.00       100.00    %
20         SO3        1     16         1          1          1          0.000002000000  0.000002000000  1.00       100.00    %
21         SO3        1     32         1          1          1          0.000005000000  0.000005000000  1.00       100.00    %
22         SO3        1     64         1          1          1          0.000012000000  0.000012000000  1.00       100.00    %
23         SO3        1     128        1          1          1          0.000062999999  0.000062999999  1.00       100.00    %
24         SO3        1     256        1          1          1          0.000469999999  0.000469999999  1.00       100.00    %
25         SO3        1     512        1          1          1          0.002206000034  0.002206000034  1.00       100.00    %
26         SO3        1     1024       1          1          1          0.006244000047  0.006244000047  1.00       100.00    %
27         SO3        1     2048       1          1          1          0.030263999477  0.030263999477  1.00       100.00    %
28         SO3        1     4096       1          1          1          0.166566997766  0.166566997766  1.00       100.00    %
623        SO1        1     16         2          1          1          0.000002000000  0.000002000000  1.00       100.00    %
624        SO1        1     32         2          1          1          0.000002000000  0.000002000000  1.00       100.00    %
625        SO1        1     64         2          1          1          0.000007000000  0.000007000000  1.00       100.00    %
